DATA,ATIVO,COTAS,VLR COTA,TOTAL
2021-02-22 00:00:00,BBSE3,50.0,26.59,1329.5
2021-02-22 00:00:00,BBAS3,50.0,29.54,1477.0
2021-02-22 00:00:00,BBAS3,50.0,28.82,1441.0
2021-02-22 00:00:00,PORD11,10.0,102.8,1028.0
2021-02-26 00:00:00,BPFF11,10.0,78.8,788.0
2021-02-26 00:00:00,BBSE3,100.0,28.21,2821.0
2021-03-01 00:00:00,BBSE3,100.0,25.26,2526.0
2021-03-02 00:00:00,BBAS3,66.0,27.7,1828.2
2021-03-03 00:00:00,CVCB3,200.0,14.4,2880.0
2021-03-05 00:00:00,FIGS11,10.0,59.28,592.8
2021-03-08 00:00:00,OIBR3,500.0,1.9,950.0
2021-03-12 00:00:00,BBSE3,50.0,23.94,1197.0
2021-03-12 00:00:00,VGIR11,10.0,90.62,906.2
2021-03-24 00:00:00,BCFF11,7.0,86.9,608.3000000000001
2021-03-25 00:00:00,MXRF12,200.0,10.15,2030.0
2021-03-26 00:00:00,OIBR3,500.0,1.82,910.0
2021-04-05 00:00:00,FIGS11,10.0,58.45,584.5
2021-04-06 00:00:00,OIBR3,500.0,1.89,945.0
2021-04-08 00:00:00,BCFF11,10.0,85.82,858.1999999999999
